Key,English,Traditional_Chinese
TUTORIAL_OPEN_MAP_CONTENT,"#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] to see the continent of Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] to hide navigator on right corner. If you want to see it again, [[press N key again|touch Navigator in main menu]].",#b#cff0000ff■ 世界地圖#nb#nc\n[[按下 M 鍵|點選主選單的世界地圖]] 來查看瑪德利賈大陸。\n\n#b#cff0000ff■ 小地圖#nb#nc\n[[按下 N 鍵|點選叉叉]] 隱藏右上方的導航，如果你想再次看到導航，[[再次按下 N 鍵|點選主選單的導航]]。
TUTORIAL_OPEN_NAVIGATOR_TEXT,Let's go through the Navigator.\nYou can check your location and the surrounding area with the navigator that’s in the upper right part of the screen.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]],接著來看看導航功能。\n畫面右上方的導航可以顯示你目前的位置與周邊區域。\n[[按下 'N' 鍵即可開啟或關閉導航|從主選單選擇導航，即可開啟或關閉小地圖]]。\n\n#cffff0000完成條件：[[按下快捷鍵 'N'|開啟導航]]
TUTORIAL_TALK_LUI_TEXT,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!,現在要探索#b瑪德利賈#nb更容易了！\n\n跟著頭頂上的#b箭頭#nb前往中央布拉里斯，與 #b#cffa0a0ff[雜貨商] 路伊#nc#nb 交談。\n\n他似乎有重要資訊要告訴你。祝你好運！
TUTORIAL_START_QUEST_TEXT,"Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]",恭喜你接到了第一個任務！現在來看看 #b任務日誌#nb 吧。\n\n這本日誌會記錄你已完成的任務，以及目前正在進行中的任務。\n\n若要查看詳細內容，[[按下 'Q'|點選畫面上方的 #b「任務」#nb 按鈕]]。\n\n#cffff0000 完成條件：[[熱鍵 'Q'|開啟任務日誌]]
TUTORIAL_START_QUEST_TITLE,Quest Window,任務視窗
TUTORIAL_START_QUEST_CONTENT,#b#cff0000ff■ Quest Window#nb#nc\nThis is where you can see current quest information and the completed quests.[[\nShortcut key is L.|]],#b#cff0000ff■ 任務視窗#nb#nc\n能夠查看目前所進行中的任務和已完成的任務。[[\n快捷鍵 'L'|]]
TUTORIAL_MOTION_TEXT,Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]],想表達自己的情緒嗎？\n\n[[按下 'O'|點選左側的表情按鈕]] 即可開啟各種 #b表情與動作#nb。來試試看吧。\n\n#cffff0000 完成條件：[[按下 'O'|開啟表情視窗]]
TUTORIAL_MOTION_TITLE,Emotion Expression,情緒表達
TUTORIAL_MOTION_CONTENT,"#b#cff0000ff■ Emotion Expression#nb#nc\nYou can use this to express your emotion to other players. There are many emoticons and icons for expression various emotions, so you should try to use it.[[\nShortcut key is O.|]]",#b#cff0000ff■ 情緒表達#nb#nc\n你可以對其他玩家表達情緒，有許多的表情符號和圖示可以表達各種情緒，你應該試試看。[[\n快捷鍵 O|]]
TUTORIAL_CHAT_TEXT,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.,準備好和其他人聊天了嗎？\n\n[[按下 ENTER|你可以點選底部的 #b聊天#nb 預覽區]] 來開啟聊天視窗。\n\n一般聊天訊息只有附近的玩家看得到。
TUTORIAL_CHAT_TITLE,Chat Method,聊天模式
TUTORIAL_CHAT_CONTENT,#b#cff0000ff■ Normal Chat#nb#nc\nYou can only talk to players near by you. The way you talk is press Chat button on chat window.\n\n#b#cff0000ff■ Shout#nb#nc\nYou can talk to players who are in broad range. They way you shot is add #cffff0000/s #nc on front of the words that you want to say.\n\n#b#cff0000ff■ Party Chat#nb#nc\nYou can use it when you are in a party. The way you talk is add #cffff0000/p #nc on front of the wards that you want to say.\nYou can use Troupe button on the chat window.\n\n#b#cff0000ff■ Whisper#nb#nc\nYou can send message to certain player. The way you do it is add #cffff0000/w character name #nc.\nYou can use Whisper button on the chat window.\n\n#b#cff0000ff■ Guild Chat#nb#nc\nYou can use it when you are in a guild. The way you talk is add#cffff0000/g #nc.\nYou can use Guild button on the chat window.\n\n#b#cff0000ff■ System Message#nb#nc\nAll of the messages except chat message display in system window.To check press SYSTEM button on the chat window.\n\n#b#cff0000ff■ Filter Function#nb#nc\nYou can see the chat that you want to see. The way you do is press Filter button.,#b#cff0000ff■ 一般聊天#nb#nc\n可以傳達給自己周邊的玩家。使用的方法點選聊天視窗的聊天訊息後，就可以了。\n\n#b#cff0000ff■ 大喊#nb#nc\n可以傳達比一般聊天更廣的範圍的玩家。使用的方法在自己想要說的話前面，輸入#cffff0000/s #nc後就可以了。也可以點選聊天視窗的大喊訊息就。\n\n#b#cff0000ff■ 劇團聊天#nb#nc\n只有參加劇團的時候，才能使用，使用方法在自己想要說的話前面，輸入#cffff0000/p #nc後就可以了。\n也可以點選聊天視窗的劇團訊息。\n\n#b#cff0000ff■ 密語聊天#nb#nc\n只對特定玩家發送訊息的方法，使用方法在自己想說的話前面，輸入#cffff0000/w 對方角色名稱#nc就可以了。\n也可以點選聊天視窗的悄悄話訊息。\n\n#b#cff0000ff■ 公會聊天#nb#nc\n只有參加公會才可以使用，用方法在自己想說的話前面，輸入#cffff0000/g #nc就可以了。\n也可以點選聊天視窗的公會訊息。\n\n#b#cff0000ff■ 系統訊息#nb#nc\n聊天訊息以外所有的訊息都是在系統視窗上，可以點選聊天視窗的系統訊息確認內容。\n\n#b#cff0000ff■ 過濾功能#nb#nc\n點選聊天視窗的過濾，勾選你想看到的聊天內容，就會隱藏其他沒有勾選的聊天內容了。
TUTORIAL_SHOUT_TEXT,"Mastering the Shout:\n\nShouting broadcasts your message to a #bbroader audience#nb than normal chat.\n\nTo shout, prefix your message with#cffff0000/s#nc. Remember, players won't see your shouts until you reach level 20.\n\n#cffff0000Clearing requirement: Use the shout ('/s') chat.",來學習大喊吧：\n\n大喊能讓你的訊息傳達給比一般聊天#b更廣範圍#nb的玩家。\n\n若要大喊，請在訊息前加上#cffff0000/s#nc。請記住，在你達到 20 級之前，其他玩家是看不到你的大喊訊息的。\n\n#cffff0000 完成條件：使用大喊 ('/s') 聊天。
TUTORIAL_PARTY_CHAT_TEXT,"About the #bParty chat#nb:\n\nStart your message with #cffff0000/p#nc to only discuss with players in your party.\n\nRemember, party chat is exclusive to party members.",關於 #b劇團聊天#nb：\n\n在訊息前加上 #cffff0000/p#nc，就只能和你的劇團成員交談。\n\n請記住，劇團聊天僅限劇團成員使用。
TUTORIAL_WHISPER_CHAT_TEXT,Need to message someone directly? Try #bWhisper#nb.\n\nType\n#cffff0000 /w CharacterName\n#nc before your message to whisper to a specific player.,想直接傳訊息給某位玩家嗎？試試 #b密語#nb 吧。\n\n在訊息前輸入\n#cffff0000 /w 角色名稱\n#nc即可對指定玩家發送密語。
TUTORIAL_GUILD_CHAT_TEXT,Add #cffff0000/g#nc before your message to chat with your guild members only.,在訊息前新增#cffff0000/g#nc 僅與你的公會成員聊天。
TUTORIAL_SYSTEM_CHAT_TEXT,System messages are shown in a seperate chat window.\n\n[[Click|Tap]] the SYSTEM button in the chat window to view them.,系統訊息會顯示在獨立的聊天視窗中。\n\n[[點選|點選]] 聊天視窗中的 SYSTEM 按鈕即可查看。
TUTORIAL_FILTER_CHAT_TEXT,"To see only the messages you're interested in, simply select a tab, [[click|tap]] the #bFilter#nb button, and edit your perferences. The rest will be filtered out.",若只想查看感興趣的訊息，請選擇一個分頁，[[點選|輕觸]]#b篩選#nb按鈕並調整偏好設定，其餘訊息便會被濾除。
TUTORIAL_INVENTORY_TEXT,You got your #bfirst weapon#nb!\n\nLet's go through item equipment by [[pressing 'I'|touching Inventory in the bottom]].\n\n#cffff0000Clear Condition: [[Hot Key 'I'|Open inventory]],你得到了#b第一把武器#nb！\n\n現在透過 [[按下 'I'|點選下方的背包]] 來裝備物品。\n\n#cffff0000完成條件：[[按下快捷鍵 'I'|開啟背包]]
TUTORIAL_EQUIP_TEXT,[[Double click|Touch]] an item you want to equip [[or drag it to the spot you want to equip|and then touch the #bEquip#nb button]].\n\n#cffff0000Clear Condition: Equip an item,[[雙擊|點選]] 你想要裝備的物品 [[或者按住物品拖到你想裝備的位置|或者點選#b裝備#nb]]。\n\n#cffff0000 完成條件：裝備一個物品
TUTORIAL_UNEQUIP_TEXT,Now double [[click again|tap]] on the item in #bequipment view#nb to unequip it.\n\n#cffff0000Clear Condition: Unequip an item,現在再次 [[點選|點選]]#b裝備欄#nb裡的物品來解除裝備。\n\n#cffff0000 完成條件：解除一個物品
TUTORIAL_INVENTORY_TITLE,Inventory,背包
TUTORIAL_INVENTORY_CONTENT,"#b#cff0000ff■ At the top of the Inventory window,#nb#nc\nyou can see the items your character has equipped. At the bottom, you can see the items and Penya in your inventory. To equip an item, double-[[click|tap]] it or drag it to the appropriate slot.[[\nHotkey: I|]]",#b#cff0000ff■ 背包上半部#nb#nc\n會顯示角色目前裝備的物品；下半部則顯示背包內的物品與金幣。若要裝備物品，可 [[雙擊|點選兩次]] 該物品，或將它拖曳到對應欄位。[[\n快捷鍵：I|]]
TUTORIAL_TASKBAR_TEXT,Well done! Let's learn about the #bQuick Slot#nb located [[on the left|in many places]] of your screen.\n\nYou can put #bitems or skills#nb into it so you can use them quickly. [[1 - 0 can be used as hotkeyes.\nYou can also use keys F1-F9 to cycle through your Quick Slot bars.|#bKeep your finger pressed#nb on an item to drag it to the Slot of your choice.]]\n\n#cffff0000Clear Condition: Drag an item to Quick Slot,很好！接下來讓我們瞭解畫面 [[左側|多處]] 的#b快捷欄#nb。\n\n你可以放上#b道具或技能#nb以便快速使用。[[1 - 0 能夠作為快捷鍵使用，\n也能使用 F1-F9 循環切換快捷欄。|#b按住所選道具#nb，將它拖到你選擇的欄位上。]]\n\n#cffff0000完成條件：將一個物品拖到快捷欄
TUTORIAL_TASKBAR_TITLE,Quick Slot,快捷欄
TUTORIAL_TASKBAR_CONTENT,#b#cff0000ff■ Quick Slot#nb#nc\nYou can put items or motions that you want to use quickly[[ in 1~0 slots and there are also expansion slot of F1~F9|]].,#b#cff0000ff■ 快捷欄#nb#nc\n你可以放上道具或動作讓你能夠更快的使用 [[1~0 和 F1~F9 都能夠被作為快捷欄使用|]].
TUTORIAL_CHARACTER_TEXT,The #bCharacter#nb window displays information about your character.\n\n[[Press 'H'|Touch Character in main menu]] to view this window.\n\n#cffff0000Clear Condition: [[Hot Key 'H'|Open Character window]],#b角色#nb視窗會顯示你角色的資訊。\n\n[[按下 'H'|點選主選單裡的角色]] 來開啟視窗。\n\n#cffff0000 完成條件：[[熱鍵 'H'|開啟角色視窗]]
TUTORIAL_CHARACTER_TITLE,Character Window,角色視窗
TUTORIAL_CHARACTER_CONTENT,#b#cff0000ff■ Character Window#nb#nc\nYou can see all information of your character. You can also increase ability stat with Stat Points.[[\nShortcut key is H.|]],#b#cff0000ff■ 角色視窗#nb#nc\n你可以看到所有的角色資訊，同時也可以使用能力點升級角色能力值。[[\n快捷鍵 H|]]
TUTORIAL_STAT_TEXT,You can also distribute #bStat Points#nb you have gained by leveling in #bDetail tab#nb.\n\nUse #bApply#nb button to confirm changes.\n\n#cffff0000Clear Condition: Distribute Stat Points,你也可以在#b詳細資訊分頁#nb分配升級後獲得的#b能力點#nb。\n\n使用#b套用#nb按鈕來確認變更。\n\n#cffff0000完成條件：分配能力點
TUTORIAL_CHANGEJOB_TEXT,"Hi, there. I am #b#cffa0a0ffInfo Pang#nc#nb ^^\n\nYou can transfer your job to #bMercenary#nb, #bMagician#nb, #bAcrobat#nb, or #bAssist#nb when you reach level 15.\n\nYou need to complete the #bjob transfer quest#nb by talking to the #b#cffa0a0ffJob Drillmaster#nc#nb in #bEastern Flarine#nb.",你好！我是#b#cffa0a0ff資訊胖胖#nc#nb ^^\n\n當你達到 15 級時，就可以轉職成為 #b勇者#nb、#b魔法師#nb、#b雜技師#nb 或 #b神職者#nb。\n\n你必須前往 #b布拉里斯東部#nb，與 #b#cffa0a0ff轉職教官#nc#nb 對話，完成 #b轉職任務#nb。
TUTORIAL_FLY_TEXT,"Now you have reached the level to fly. Let me teach you #bhow to fly#nb!\n\nYou will first need to purchase a board or a broom to #b#cffa0a0ff(Station) Tina#nc#nb in Flarine and equip the item.\n\nThen [[press the Space bar|touch the #bSTART button#nb in bottom right of the screen]] to increase speed, and [[press Space bar|touch it]] again to decrease speed.\n\n[[Move your Mouse cursor while holding down the right button|Touch your character and #bslide your finger#nb or use the #bdirectional pad#nb]] to fly in that direction.\n\n[[When using the keyboard the W, A, S, D keys will move you.|You can also control your flight by #brotating your device#nb if device motion is supported. Use the button on top of the screen to toggle Device Motion.]]",你已達到可以飛行的等級。讓我教你#b如何飛行#nb！\n\n首先，前往布拉里斯向 #b#cffa0a0ff(航空站) 蒂娜#nc#nb 購買飛行板或掃帚，並裝備該物品。\n\n接著，[[按下空白鍵|輕觸畫面右下角的#b開始按鈕#nb]]來加速，再[[按一次空白鍵|輕觸一次]]即可減速。\n\n[[按住滑鼠右鍵並移動滑鼠游標|觸碰角色並#b滑動手指#nb，或使用#b方向控制盤#nb]]，即可朝該方向飛行。\n\n[[使用鍵盤時，以 W、A、S、D 鍵控制移動。|若裝置支援動態感應，也可以#b旋轉裝置#nb來控制飛行。使用畫面上方的按鈕即可切換裝置動態感應。]]
TUTORIAL_GUILD_TEXT,"A #bGuild#nb is a bigger community than a Party and can be created by the #b#cffa0a0ff[Public Office] Helena#nc#nb when you reach level 40.\n\nEach tab's details are as follows:\nInfo tab provides general info about the guild and notice, \nMember tab manages Guild members.\n\n#cffff0000Clear Condition: [[Hot Key 'G'|Open Guild window]]",#b公會#nb是比劇團還要大的團體，當你達到 40 等時可以找#b#cffa0a0ff[城鎮服務處] 海蓮娜#nc#nb建立公會。\n\n每個選項的說明如下：\n公會情報：提供公會的資訊和注意事項。\n成員：管理公會的所有成員。\n\n#cffff0000 完成條件：[[熱鍵 'G'|開啟公會視窗]]
TUTORIAL_MESSENGER_TEXT,You can use #bMessenger#nb Window to check your friends' online status and chat with them. Remember to add your #bfriends#nb to the messenger.,你可以使用#b好友#nb視窗查看好友的線上狀態並與他們聊天。請記得將你的#b好友#nb新增到好友。
TUTORIAL_MESSENGER_TITLE,Messenger,好友
TUTORIAL_MESSENGER_CONTENT,"#b#cff0000ff■ Messenger#nb#nc\nYou can check for log in status of registered players, channel and you can use chat easily. To register player [[click on|touch]] + button on the messenger window, then enter the character name that you want to register.[[\nShortcut key is E.|]]",#b#cff0000ff■ 好友#nb#nc\n你可以查看已登記玩家的狀態、伺服器，並和他們聊天。[[點選|點選]] 好友視窗中的 +，然後輸入要登記的玩家名稱。[[\n快捷鍵 E|]]
TUTORIAL_TRADE_TEXT,"You can use #b1 on 1 trade#nb to exchange items and Penya. Simply [[Left click on a|tap on another]] player, and select #b'Trade'#nb from the menu.",你可以使用 #b一對一交易#nb來交換物品和金幣。只需[[左鍵點選|點選另一名]]玩家，然後從選單中選擇#b「交易」#nb。
TUTORIAL_TRADE_TITLE,Trade,交易
TUTORIAL_TRADE_CONTENT,"#b#cff0000ff■ 1:1 Trade#nb#nc\nIt is a method of trade when you give and take items or Penya with other character. [[#cffff0000Left click#nc on other|#cffff0000Touch#nc another]] character and choose Trade menu. It will ask other character if he wants to trade.\n\n#b#cff0000ff■ Private shop#nb#nc\nYou can sell your items to other players. When you [[press|touch]] Start button, menu will show and when you choose private shop, private shop window will show. You can register name of shop and the items you want to sell then [[click|touch]] OK button to start the private shop. If NPC is placed near by you, private shop will not open.",#b#cff0000ff■ 1:1 交易#nb#nc\n這是與其他角色交換物品或金幣的方式。對其他角色[[按下#cffff0000滑鼠左鍵#nc|#cffff0000輕觸#nc]]並選擇「交易」，即可向對方送出交易請求。\n\n#b#cff0000ff■ 個人商店#nb#nc\n你可以向其他玩家販售物品。[[按下|輕觸]]「開始」按鈕開啟選單，再選擇個人商店以開啟其視窗。輸入商店名稱並登錄要販售的物品後，[[點選|輕觸]]「確定」按鈕即可開始營業。附近若有 NPC，便無法開啟個人商店。
TUTORIAL_PRIVATE_SHOP_TEXT,Got items you don't need? Start a #bprivate shop#nb and sell them to other players!\n\n[[Click the Menu button and click Private Shop in the menu|Tap the Private Shop button at the top]].\n\n#cffff0000Clearing requirement: Open the Private Shop window,有不需要的物品嗎？開設 #b個人商店#nb 並把它們賣給其他玩家吧！\n\n[[點選選單按鈕，並在選單中點選個人商店|點選上方的個人商店按鈕]]。\n\n#cffff0000 完成條件：開啟個人商店視窗
